startTime,weighingStartTime,weighingEndTime,checkoutStartTime,checkoutEndTime,totalTime
0.0,1271.5727236688779,1271.5727236688779,1470.7815185624434,1470.7815185624434,1470.7815185624434
33.3179831945858,1297.2745033043443,1470.7815185624434,1715.3702891472678,1715.3702891472678,1682.052305952682
3.7621016028256564,1470.7815185624434,1715.3702891472678,1866.4947498664555,1866.4947498664555,1862.73264826363
14.458914052887831,1715.3702891472678,1866.4947498664555,2043.0692196658729,2043.0692196658729,2028.610305612985
46.52353717845566,1866.4947498664555,2043.0692196658729,2244.170933107064,2244.170933107064,2197.647395928608
46.91684177672348,2043.0692196658729,2244.170933107064,2401.154575039247,2401.154575039247,2354.2377332625233
109.26455271742188,2244.170933107064,2401.154575039247,2638.0936947128675,2638.0936947128675,2528.8291419954458
108.07668620759115,2401.154575039247,2638.0936947128675,2737.0577059422476,2737.0577059422476,2628.9810197346565
110.69536922360591,2638.0936947128675,2737.0577059422476,2832.620586789472,2832.620586789472,2721.9252175658658
108.52032930866775,2737.0577059422476,2832.620586789472,3096.3931866531825,3096.3931866531825,2987.8728573445146
121.77592857095975,2832.620586789472,3096.3931866531825,3295.3902492114776,3295.3902492114776,3173.6143206405177
134.45919336365097,3096.3931866531825,3295.3902492114776,3406.095719195293,3406.095719195293,3271.636525831642
157.31013126347003,3295.3902492114776,3406.095719195293,3497.0121972128377,3497.0121972128377,3339.702065949368
149.14697189222812,3406.095719195293,3497.0121972128377,3546.364336216445,3546.364336216445,3397.2173643242168
109.91555728353629,3497.0121972128377,3546.364336216445,3750.6063779828864,3750.6063779828864,3640.6908206993503
183.1635174873428,3546.364336216445,3750.6063779828864,3948.2596706688378,3948.2596706688378,3765.096153181495
191.27968242095926,3750.6063779828864,3948.2596706688378,4122.408604961813,4122.408604961813,3931.1289225408536
186.29154618381378,3948.2596706688378,4122.408604961813,4284.550176563144,4284.550176563144,4098.2586303793305
225.18507823622787,4122.408604961813,4284.550176563144,4555.201395803543,4555.201395803543,4330.016317567315
248.79879123823667,4284.550176563144,4555.201395803543,4718.314947503723,4718.314947503723,4469.516156265486
255.76537181463672,4555.201395803543,4718.314947503723,4960.20526054457,4960.20526054457,4704.439888729933
213.5171576594494,4718.314947503723,4960.20526054457,5127.117590348614,5127.117590348614,4913.600432689164
253.16581066677497,4960.20526054457,5127.117590348614,5333.452019708945,5333.452019708945,5080.28620904217
327.05989453275856,5127.117590348614,5333.452019708945,5459.501538406924,5459.501538406924,5132.4416438741655
330.6087156871347,5333.452019708945,5459.501538406924,5643.560627112007,5643.560627112007,5312.951911424872
354.02993591543446,5459.501538406924,5643.560627112007,5764.567041365009,5764.567041365009,5410.5371054495745
370.08787626852865,5643.560627112007,5764.567041365009,5970.140158335476,5970.140158335476,5600.052282066948
362.7944360779322,5764.567041365009,5970.140158335476,6222.422589721562,6222.422589721562,5859.62815364363
376.68474744079424,5970.140158335476,6222.422589721562,6366.284183033728,6366.284183033728,5989.599435592934
401.37825242165513,6222.422589721562,6366.284183033728,6598.272512697082,6598.272512697082,6196.894260275427
319.28490944195664,6366.284183033728,6598.272512697082,6777.591527677046,6777.591527677046,6458.3066182350885
395.7067528424304,6598.272512697082,6777.591527677046,7005.6381271162345,7005.6381271162345,6609.931374273804
421.64606047488786,6777.591527677046,7005.6381271162345,7169.9820432465385,7169.9820432465385,6748.33598277165
476.1136946836795,7005.6381271162345,7169.9820432465385,7397.714515297269,7397.714515297269,6921.600820613589
518.7346408025612,7169.9820432465385,7397.714515297269,7668.407631332207,7668.407631332207,7149.672990529645
526.1200540562376,7397.714515297269,7668.407631332207,7781.822850151143,7781.822850151143,7255.702796094905
498.0266770148451,7668.407631332207,7781.822850151143,7978.595265918707,7978.595265918707,7480.568588903861
526.4382269869288,7781.822850151143,7978.595265918707,8213.981630086982,8213.981630086982,7687.543403100053
554.4563153023053,7978.595265918707,8213.981630086982,8534.438650175369,8534.438650175369,7979.982334873063
582.8291244706968,8213.981630086982,8534.438650175369,8695.692015411309,8695.692015411309,8112.862890940612
543.295317554005,8534.438650175369,8695.692015411309,8867.421762597485,8867.421762597485,8324.126445043481
601.7013414659191,8695.692015411309,8867.421762597485,9057.996977341987,9057.996977341987,8456.295635876068
600.3017052930146,8867.421762597485,9057.996977341987,9353.08910857527,9353.08910857527,8752.787403282255
572.7573592884726,9057.996977341987,9353.08910857527,9491.92759214645,9491.92759214645,8919.170232857978
677.6574111605893,9353.08910857527,9491.92759214645,9696.313635052627,9696.313635052627,9018.656223892038
652.1981421522031,9491.92759214645,9696.313635052627,9795.408317101927,9795.408317101927,9143.210174949723
682.7811692245841,9696.313635052627,9795.408317101927,10015.698786536785,10015.698786536785,9332.9176173122
647.1238817259765,9795.408317101927,10015.698786536785,10218.284923954927,10218.284923954927,9571.16104222895
722.8988989339114,10015.698786536785,10218.284923954927,10378.185060488437,10378.185060488437,9655.286161554526
701.8864503093131,10218.284923954927,10378.185060488437,10672.843866822353,10672.843866822353,9970.95741651304
640.8405829111275,10378.185060488437,10672.843866822353,10865.76314890317,10865.76314890317,10224.922565992043
682.9707858597723,10672.843866822353,10865.76314890317,11061.881822607924,11061.881822607924,10378.911036748152
754.067912803664,10865.76314890317,11061.881822607924,11096.661897129026,11096.661897129026,10342.593984325362
745.8367555579324,11061.881822607924,11096.661897129026,11159.124012083366,11159.124012083366,10413.287256525435
713.667622580917,11096.661897129026,11159.124012083366,11401.00159086588,11401.00159086588,10687.333968284964
768.8771659003385,11159.124012083366,11401.00159086588,11565.969901478838,11565.969901478838,10797.0927355785
